time_code,year
1950000000,1950
1955000000,1955
1960000000,1960
1965000000,1965
1970000000,1970
1975000000,1975
1980000000,1980
1985000000,1985
1990000000,1990
1995000000,1995
2000000000,2000
2005000000,2005
2010000000,2010
2015000000,2015
2020000000,2020
